country,region,dev_level,year,gdp_growth,gdp_level,inflation,policy_rate,unemployment,current_account,debt_to_gdp,fx_change,biz_confidence,fin_stress_idx,shock_event_x,equities,bonds,real_estate,commodities,cash,shock_event_y
Canada,NorthAmerica,developed,2006,2.928,163.07,3.296,4.712,3.382,1.871,97.86,-0.97,50.39,0.0,,8.39,-0.52,9.31,4.22,3.84,
Canada,NorthAmerica,developed,2007,1.874,166.13,4.188,5.386,3.703,-3.005,94.95,-1.653,61.34,0.0,,22.43,-2.22,0.7,-19.33,4.36,
Canada,NorthAmerica,developed,2008,-0.458,165.37,3.993,5.568,4.449,-0.595,99.18,-1.613,44.04,3.0,Global Financial Crisis,-4.98,5.98,-3.53,10.65,5.36,Global Financial Crisis
Canada,NorthAmerica,developed,2009,-1.468,162.94,2.684,5.526,6.548,-1.94,101.73,1.728,46.02,2.5,GFC trough,-20.55,-1.64,-16.91,-8.82,4.4,GFC trough
Canada,NorthAmerica,developed,2010,-0.791,161.65,3.771,5.479,5.525,3.129,104.92,-2.324,46.93,0.0,,1.34,9.37,11.17,11.26,5.3,
Canada,NorthAmerica,developed,2011,-0.047,161.58,2.56,5.424,4.754,2.296,103.91,-1.651,43.64,0.6,Euro debt crisis,-4.62,-3.84,7.01,-24.61,4.38,Euro debt crisis
Canada,NorthAmerica,developed,2012,0.044,161.65,2.706,5.091,4.851,-0.318,107.89,-2.139,52.22,0.0,,9.28,3.21,-0.64,-14.35,4.32,
Canada,NorthAmerica,developed,2013,1.006,163.27,2.933,5.226,4.645,4.07,111.11,-0.804,49.93,0.0,,17.22,2.78,-4.58,-15.01,4.2,
Canada,NorthAmerica,developed,2014,0.71,164.43,1.811,4.487,4.61,0.669,114.49,-1.384,54.24,0.0,,10.38,5.98,-3.31,-30.09,3.94,
Canada,NorthAmerica,developed,2015,1.371,166.69,1.571,3.949,4.589,0.376,114.58,0.083,52.97,0.4,China slowdown,-4.28,7.7,-1.89,-11.9,3.4,China slowdown
Canada,NorthAmerica,developed,2016,1.063,168.46,1.869,3.215,5.136,2.496,116.86,0.856,45.08,0.0,,36.48,7.65,7.25,8.57,2.21,
Canada,NorthAmerica,developed,2017,0.679,169.6,1.72,2.682,5.018,3.995,117.25,-1.501,52.18,0.0,,-5.23,-8.16,20.49,25.93,2.4,
Canada,NorthAmerica,developed,2018,2.051,173.08,0.858,2.666,4.885,-3.304,117.01,-0.415,52.9,0.0,,13.34,-3.43,6.99,29.81,2.31,
Canada,NorthAmerica,developed,2019,2.601,177.58,1.34,1.993,3.957,-1.155,121.48,-0.967,53.74,0.0,,7.35,-5.48,21.96,2.24,1.17,
Canada,NorthAmerica,developed,2020,-0.15,177.31,1.932,2.236,4.232,1.076,122.55,-0.941,45.41,2.8,COVID-19,-15.66,0.09,-1.75,4.64,1.75,COVID-19
Canada,NorthAmerica,developed,2021,2.079,181.0,2.03,2.739,4.081,-1.228,127.85,-0.8,54.22,0.2,COVID recovery / stimulus,20.24,3.41,16.64,-1.94,3.24,COVID recovery / stimulus
Canada,NorthAmerica,developed,2022,1.395,183.53,3.688,3.391,4.036,-0.823,133.56,-2.498,43.79,1.0,Inflation / rate hike cycle,-2.06,-2.46,-4.4,0.51,2.37,Inflation / rate hike cycle
Canada,NorthAmerica,developed,2023,2.288,187.73,4.82,3.916,2.888,-0.621,135.91,-1.136,50.83,0.4,Rates plateau,12.31,-9.9,6.89,-15.51,3.21,Rates plateau
Canada,NorthAmerica,developed,2024,2.639,192.68,4.735,3.935,4.03,4.105,139.07,-1.405,55.31,0.0,,18.61,10.73,-1.54,2.75,3.13,
UK,Europe,developed,1985,2.469,102.47,1.415,4.782,3.57,0.696,61.77,3.751,52.57,0.0,,-0.86,-0.25,11.73,-4.02,4.74,
UK,Europe,developed,1986,2.729,105.27,1.948,4.322,3.724,-0.575,63.11,-3.128,56.45,0.0,,16.02,-2.57,3.52,-8.4,3.91,
UK,Europe,developed,1987,1.73,107.09,1.928,4.168,3.282,-6.231,66.42,-0.784,44.83,0.8,Black Monday,-14.45,-2.92,-1.47,13.22,3.91,Black Monday
UK,Europe,developed,1988,2.294,109.54,2.321,3.914,3.195,-1.328,69.21,4.909,56.72,0.0,,27.13,5.03,5.95,15.63,2.98,
UK,Europe,developed,1989,2.478,112.26,2.283,4.315,4.074,-0.497,70.32,-0.716,54.46,0.0,,-11.78,4.46,-1.96,2.76,3.7,
UK,Europe,developed,1990,2.138,114.66,3.795,4.461,3.719,-2.372,72.19,1.606,47.13,0.6,Gulf War / S&L crisis,9.64,5.78,10.44,7.04,3.66,Gulf War / S&L crisis
UK,Europe,developed,1991,0.732,115.5,3.096,3.578,4.152,-4.83,74.39,2.137,50.01,0.5,Recession,6.26,0.02,2.12,42.75,3.1,Recession
UK,Europe,developed,1992,0.456,116.02,2.991,4.131,4.284,-4.821,78.29,-0.5,53.03,0.0,,10.94,-0.48,11.58,15.01,3.74,
UK,Europe,developed,1993,0.859,117.02,3.514,3.915,4.565,-3.421,78.52,-3.341,54.1,0.0,,9.48,7.27,14.63,8.21,3.29,
UK,Europe,developed,1994,0.958,118.14,2.554,3.898,5.085,-7.561,78.16,-1.772,56.67,0.0,,17.98,-1.35,-1.1,2.71,2.79,
UK,Europe,developed,1995,1.413,119.81,3.217,3.649,3.734,-2.104,80.71,0.972,52.8,0.0,,18.57,-2.81,2.05,0.75,3.11,
UK,Europe,developed,1996,1.752,121.91,3.26,4.241,4.528,-6.24,78.72,1.866,57.73,0.0,,4.63,1.35,4.67,-2.65,3.37,
UK,Europe,developed,1997,0.747,122.82,1.848,4.078,5.092,0.595,82.61,-0.458,46.7,1.2,Asian Financial Crisis,14.33,-5.62,-0.68,-4.53,3.59,Asian Financial Crisis
UK,Europe,developed,1998,0.732,123.72,1.673,3.454,5.658,0.57,87.62,-1.504,52.31,1.0,LTCM / Russia default,-14.23,2.51,1.87,18.56,3.04,LTCM / Russia default
UK,Europe,developed,1999,1.458,125.52,2.252,4.015,4.589,-1.52,91.51,0.846,48.12,0.0,,-6.14,0.69,12.25,-14.54,3.39,
UK,Europe,developed,2000,1.668,127.62,1.917,3.42,5.007,0.458,96.67,0.775,58.02,0.0,,9.67,1.44,28.23,-2.83,3.04,
UK,Europe,developed,2001,0.884,128.75,2.172,2.987,4.757,-2.879,96.75,0.086,50.06,0.9,Dot-com bust / 9-11,-4.56,6.87,11.07,-5.97,2.52,Dot-com bust / 9-11
UK,Europe,developed,2002,1.786,131.04,2.971,3.308,4.231,-2.912,98.84,-2.216,52.4,0.7,Corporate scandals,-3.47,-3.3,13.61,-4.75,2.09,Corporate scandals
UK,Europe,developed,2003,1.417,132.9,1.936,3.521,4.487,-6.573,101.21,2.25,56.55,0.0,,30.14,-0.47,4.11,27.92,2.95,
UK,Europe,developed,2004,2.203,135.83,2.14,3.264,3.357,-2.311,104.3,2.773,58.55,0.0,,9.41,-3.47,-5.3,1.1,2.88,
UK,Europe,developed,2005,2.098,138.68,1.277,3.054,4.06,-3.404,105.47,0.963,53.48,0.0,,14.93,1.38,8.2,-24.42,2.73,
UK,Europe,developed,2006,1.722,141.07,1.831,2.939,4.261,-2.454,105.61,-0.672,58.41,0.0,,12.59,13.29,7.76,-10.81,2.48,
UK,Europe,developed,2007,1.119,142.65,0.331,1.874,4.455,-2.938,107.63,3.169,44.65,0.0,,6.39,7.88,9.15,-16.47,1.1,
UK,Europe,developed,2008,-1.098,141.08,2.704,1.63,5.359,-4.506,109.0,-2.354,46.9,3.0,Global Financial Crisis,-3.63,13.35,-0.77,13.79,1.69,Global Financial Crisis
UK,Europe,developed,2009,-2.6,137.41,3.827,2.029,7.177,-3.187,112.95,-5.008,41.36,2.5,GFC trough,-6.1,1.92,-1.65,20.15,1.88,GFC trough
UK,Europe,developed,2010,-1.849,134.87,4.397,2.393,5.68,-1.183,116.38,0.078,45.64,0.0,,11.14,0.89,1.82,1.97,2.02,
UK,Europe,developed,2011,-0.96,133.57,4.754,2.219,5.813,-4.964,116.62,-0.703,46.77,0.6,Euro debt crisis,16.29,-9.31,3.87,2.65,1.47,Euro debt crisis
UK,Europe,developed,2012,-0.611,132.76,5.028,2.397,5.102,-4.17,119.55,-0.111,45.52,0.0,,13.3,-2.17,2.43,32.1,2.34,
UK,Europe,developed,2013,0.501,133.42,4.633,2.323,3.77,-3.025,121.79,-0.757,51.11,0.0,,15.2,2.94,5.79,34.43,2.22,
UK,Europe,developed,2014,1.036,134.81,5.024,2.701,3.896,-5.187,125.04,1.823,51.17,0.0,,0.08,-6.86,11.69,3.92,1.87,
UK,Europe,developed,2015,-0.379,134.3,3.006,2.573,4.911,-3.817,128.24,-0.685,51.45,0.4,China slowdown,9.28,2.59,8.53,9.84,2.0,China slowdown
UK,Europe,developed,2016,-0.165,134.07,2.275,2.841,4.315,-2.221,131.59,-0.137,54.37,0.0,,13.55,1.91,1.61,-4.89,2.75,
UK,Europe,developed,2017,0.028,134.11,4.028,3.195,4.347,-2.86,132.69,-1.872,51.26,0.0,,2.45,9.01,18.92,-7.06,1.84,
UK,Europe,developed,2018,0.879,135.29,3.285,3.879,5.139,-0.127,137.03,2.581,46.45,0.0,,19.31,0.64,-2.37,-4.98,3.17,
UK,Europe,developed,2019,0.994,136.64,2.494,3.943,4.217,-3.332,144.11,-0.248,53.61,0.0,,22.75,4.01,14.87,10.9,3.26,
UK,Europe,developed,2020,-1.869,134.08,2.406,3.717,6.159,-0.669,151.85,-0.757,36.5,2.8,COVID-19,-16.04,10.1,0.33,16.31,3.08,COVID-19
UK,Europe,developed,2021,1.171,135.65,4.287,4.521,4.521,-1.227,156.56,1.954,53.26,0.2,COVID recovery / stimulus,8.05,3.96,0.14,-12.7,3.6,COVID recovery / stimulus
UK,Europe,developed,2022,0.289,136.04,6.358,4.086,5.047,-10.297,157.05,-0.164,50.12,1.0,Inflation / rate hike cycle,-1.8,3.05,10.83,-15.59,3.29,Inflation / rate hike cycle
UK,Europe,developed,2023,-0.255,135.7,4.447,4.965,4.886,1.486,161.5,0.322,53.44,0.4,Rates plateau,-3.38,6.08,-4.54,-2.48,3.8,Rates plateau
UK,Europe,developed,2024,0.412,136.26,3.316,4.916,4.776,-5.729,165.25,-1.639,53.75,0.0,,10.07,1.88,-3.45,-0.14,4.52,
Germany,Europe,developed,1985,1.821,101.82,1.874,3.408,4.201,3.234,60.07,-2.015,58.37,0.0,,-1.87,-0.91,16.93,4.51,3.1,
Germany,Europe,developed,1986,1.568,103.42,0.786,3.286,4.448,-1.061,62.65,1.866,55.48,0.0,,14.48,4.63,3.99,15.24,3.14,
Germany,Europe,developed,1987,1.705,105.18,0.009,2.973,3.996,1.034,66.52,3.586,58.52,0.8,Black Monday,20.37,0.18,16.05,-3.36,2.3,Black Monday
Germany,Europe,developed,1988,2.518,107.83,0.339,2.851,4.124,2.242,68.59,2.176,56.82,0.0,,10.69,8.73,13.4,-1.06,2.67,
Germany,Europe,developed,1989,1.901,109.88,0.36,2.818,4.051,2.68,71.94,-0.228,57.55,0.0,,12.93,2.18,2.55,8.79,2.37,
Germany,Europe,developed,1990,1.383,111.4,-0.07,2.978,4.058,-1.31,72.14,-1.391,52.8,0.6,Gulf War / S&L crisis,-9.33,10.57,1.78,25.88,2.11,Gulf War / S&L crisis
Germany,Europe,developed,1991,0.423,111.87,0.221,2.778,4.958,2.632,75.48,1.796,43.85,0.5,Recession,3.04,3.2,-2.97,-5.34,2.89,Recession
Germany,Europe,developed,1992,0.549,112.48,-1.148,2.076,4.723,4.091,80.16,1.38,50.02,0.0,,10.48,3.98,-6.96,-24.26,1.6,
Germany,Europe,developed,1993,1.152,113.78,-0.92,1.561,4.917,0.884,83.81,2.261,50.34,0.0,,3.44,6.06,-8.57,0.44,1.64,
Germany,Europe,developed,1994,1.899,115.94,0.242,1.482,3.669,0.282,84.53,1.642,52.41,0.0,,32.57,-4.28,4.47,-10.24,1.3,
Germany,Europe,developed,1995,2.137,118.42,-0.379,1.17,3.987,6.89,83.43,3.688,56.38,0.0,,-0.36,14.16,12.21,0.48,1.47,
Germany,Europe,developed,1996,2.299,121.14,0.211,1.31,3.774,4.908,84.16,2.831,54.45,0.0,,14.22,6.91,5.82,-17.9,0.93,
Germany,Europe,developed,1997,1.658,123.15,-0.101,1.315,4.893,1.845,85.72,-1.569,51.52,1.2,Asian Financial Crisis,34.16,9.68,10.05,-12.9,1.39,Asian Financial Crisis
Germany,Europe,developed,1998,0.378,123.61,-0.517,1.038,5.471,7.618,86.8,3.656,49.78,1.0,LTCM / Russia default,-10.41,0.08,2.52,30.65,1.45,LTCM / Russia default
Germany,Europe,developed,1999,0.643,124.41,0.353,0.952,4.734,1.183,86.06,-2.563,53.75,0.0,,5.38,2.69,-3.06,3.5,0.86,
Germany,Europe,developed,2000,0.766,125.36,0.225,0.838,5.014,2.361,86.73,3.015,56.87,0.0,,20.84,10.67,8.89,10.64,0.5,
Germany,Europe,developed,2001,0.421,125.89,1.295,1.45,5.354,3.228,90.27,1.281,46.08,0.9,Dot-com bust / 9-11,12.1,3.11,10.16,7.98,1.25,Dot-com bust / 9-11
Germany,Europe,developed,2002,0.706,126.78,0.329,0.959,5.299,3.68,95.36,-0.012,47.11,0.7,Corporate scandals,17.47,-1.39,-0.13,-2.07,0.38,Corporate scandals
Germany,Europe,developed,2003,0.836,127.84,0.765,0.999,5.149,1.277,98.1,-1.577,53.67,0.0,,6.32,3.54,20.73,4.72,1.16,
Germany,Europe,developed,2004,1.079,129.22,0.432,0.851,4.369,1.46,103.57,0.303,52.26,0.0,,15.61,2.94,11.99,13.42,1.08,
Germany,Europe,developed,2005,0.0,129.22,0.05,0.547,4.657,4.763,105.41,3.192,50.19,0.0,,8.1,-1.3,-3.84,-2.87,0.0,
Germany,Europe,developed,2006,0.473,129.83,0.389,0.507,5.623,-2.639,103.43,-0.573,51.36,0.0,,32.5,9.14,5.61,-14.34,0.74,
Germany,Europe,developed,2007,1.219,131.41,1.11,0.536,4.9,4.06,105.6,2.222,54.2,0.0,,-0.49,-0.4,5.63,4.56,0.64,
Germany,Europe,developed,2008,-1.673,129.21,2.496,0.853,5.837,4.946,103.77,-3.383,38.26,3.0,Global Financial Crisis,7.0,12.37,-0.71,16.65,0.52,Global Financial Crisis
Germany,Europe,developed,2009,-3.058,125.26,0.791,0.197,6.098,6.915,110.6,-0.904,33.06,2.5,GFC trough,-29.8,6.64,-6.68,-9.07,0.0,GFC trough
Germany,Europe,developed,2010,-2.988,121.52,0.959,0.0,6.452,-1.2,111.97,0.639,42.8,0.0,,-2.72,11.34,20.24,-24.12,0.0,
Germany,Europe,developed,2011,-1.841,119.28,0.467,0.226,5.52,3.266,114.64,-2.263,42.74,0.6,Euro debt crisis,-6.56,12.1,4.65,-9.37,0.41,Euro debt crisis
Germany,Europe,developed,2012,-0.711,118.43,1.284,0.289,6.121,4.015,116.44,1.745,53.83,0.0,,19.88,5.93,2.83,6.53,0.18,
Germany,Europe,developed,2013,1.093,119.73,0.465,0.0,5.196,-0.117,115.47,-0.482,54.3,0.0,,10.47,3.01,20.04,6.24,0.31,
Germany,Europe,developed,2014,1.208,121.17,0.271,0.0,4.04,0.241,121.67,1.144,56.02,0.0,,29.74,8.0,8.76,18.03,0.14,
Germany,Europe,developed,2015,0.883,122.24,0.278,0.0,3.233,-0.756,119.82,-3.953,48.07,0.4,China slowdown,42.29,7.75,16.91,6.51,0.0,China slowdown
Germany,Europe,developed,2016,1.907,124.57,0.607,0.713,4.252,3.565,119.7,1.496,57.48,0.0,,11.32,6.22,16.6,20.08,0.7,
Germany,Europe,developed,2017,1.534,126.49,1.353,1.17,3.958,-0.246,119.29,0.397,55.24,0.0,,7.18,2.51,0.38,27.96,0.83,
Germany,Europe,developed,2018,1.125,127.91,1.524,1.567,4.746,5.104,124.07,-1.83,58.18,0.0,,22.82,5.65,11.98,1.27,1.1,
Germany,Europe,developed,2019,0.975,129.16,2.475,1.907,4.306,-1.615,126.15,-3.231,55.61,0.0,,-1.38,11.89,9.56,20.35,2.04,
Germany,Europe,developed,2020,-0.908,127.98,1.553,1.94,5.092,0.743,130.98,-0.722,40.43,2.8,COVID-19,-11.1,9.66,-0.88,-16.2,1.59,COVID-19
Germany,Europe,developed,2021,2.468,131.14,2.79,2.698,3.542,1.901,133.09,-1.879,58.44,0.2,COVID recovery / stimulus,19.13,-0.7,6.21,1.29,2.93,COVID recovery / stimulus
Germany,Europe,developed,2022,1.791,133.49,5.227,4.136,4.829,1.25,137.05,-2.185,53.05,1.0,Inflation / rate hike cycle,-17.14,2.4,0.89,-5.07,3.43,Inflation / rate hike cycle
Germany,Europe,developed,2023,1.134,135.01,5.267,4.849,4.324,4.387,136.4,-4.978,54.74,0.4,Rates plateau,12.61,3.64,3.49,21.1,4.5,Rates plateau
Germany,Europe,developed,2024,1.337,136.81,4.834,4.696,4.32,6.007,141.57,-0.481,52.4,0.0,,16.67,-2.6,7.57,12.23,3.75,
